Date,P_I,EU_H,C_H,SO_I,CFNAI,CFNAI_MA3,DIFFUSION
2013:05,0.01,0.06,-0.07,0.15,0.15,-0.15,-0.11
2013:06,0.02,0.02,-0.14,-0.06,-0.15,-0.10,0.01
2013:07,-0.26,-0.04,-0.09,-0.13,-0.53,-0.18,-0.01
2013:08,0.22,0.12,-0.13,0.10,0.30,-0.13,0.02
2013:09,0.08,0.04,-0.10,0.08,0.10,-0.04,0.11
2013:10,-0.03,0.04,-0.08,0.05,-0.01,0.13,0.29
2013:11,0.00,0.14,-0.06,0.22,0.29,0.13,0.28
2013:12,0.03,0.03,-0.09,-0.12,-0.15,0.04,0.10
2014:01,-0.33,0.03,-0.20,-0.21,-0.71,-0.19,-0.07
2014:02,0.27,0.06,-0.03,0.14,0.44,-0.14,-0.07
2014:03,0.29,0.13,-0.02,0.08,0.47,0.07,0.23
2014:04,-0.05,0.16,-0.06,-0.02,0.04,0.32,0.35
2014:05,0.07,0.09,-0.09,0.04,0.11,0.21,0.31
2014:06,0.06,0.15,-0.08,0.00,0.13,0.09,0.19
2014:07,0.08,0.04,-0.07,0.23,0.28,0.17,0.28
2014:08,-0.14,0.13,-0.03,-0.17,-0.21,0.07,0.15
2014:09,0.05,0.09,-0.10,-0.02,0.02,0.03,0.10
2014:10,-0.03,0.11,-0.03,-0.02,0.03,-0.06,0.01
2014:11,0.29,0.04,-0.05,-0.02,0.26,0.10,0.15
2014:12,-0.08,0.13,-0.06,0.07,0.06,0.12,0.13
2015:01,-0.21,0.05,-0.04,-0.05,-0.25,0.02,0.07
2015:02,-0.28,0.07,-0.14,-0.12,-0.47,-0.22,-0.10
2015:03,0.01,-0.06,-0.05,0.08,-0.01,-0.25,-0.15
2015:04,-0.15,0.10,-0.04,0.08,-0.01,-0.16,-0.04
2015:05,-0.10,0.05,-0.05,-0.24,-0.35,-0.12,-0.05
2015:06,-0.16,0.03,-0.05,0.04,-0.13,-0.16,-0.17
2015:07,0.19,0.16,-0.02,-0.02,0.31,-0.05,-0.10
2015:08,-0.11,-0.05,-0.05,-0.04,-0.26,-0.02,-0.17
2015:09,-0.18,-0.02,-0.05,0.11,-0.14,-0.03,-0.09
2015:10,-0.17,0.07,-0.09,-0.07,-0.25,-0.21,-0.30
2015:11,-0.25,0.03,-0.03,-0.11,-0.36,-0.25,-0.29
2015:12,-0.22,0.07,-0.02,-0.12,-0.29,-0.30,-0.34
2016:01,0.10,0.08,-0.07,-0.04,0.07,-0.19,-0.24
2016:02,-0.21,-0.06,0.04,0.02,-0.22,-0.15,-0.18
2016:03,-0.22,0.02,-0.13,-0.01,-0.34,-0.16,-0.23
2016:04,-0.02,-0.03,-0.06,-0.01,-0.12,-0.23,-0.30
2016:05,-0.11,-0.01,-0.06,-0.16,-0.34,-0.27,-0.43
2016:06,0.08,0.03,0.00,0.01,0.12,-0.12,-0.20
2016:07,-0.02,0.13,-0.03,-0.04,0.03,-0.06,-0.13
2016:08,-0.13,-0.08,-0.06,0.09,-0.18,-0.01,-0.10
2016:09,-0.04,0.03,-0.06,-0.02,-0.09,-0.08,-0.20
2016:10,-0.04,0.00,-0.04,0.04,-0.05,-0.11,-0.28
2016:11,-0.14,0.06,-0.07,-0.06,-0.21,-0.12,-0.24
2016:12,0.13,0.05,0.04,0.17,0.38,0.04,-0.07
2017:01,-0.08,-0.01,-0.06,0.03,-0.12,0.02,0.00
2017:02,-0.13,0.12,-0.05,-0.02,-0.08,0.06,0.07
2017:03,0.05,0.06,-0.04,-0.06,0.00,-0.06,-0.09
2017:04,0.34,0.11,-0.05,-0.09,0.31,0.08,0.04
2017:05,0.01,-0.01,-0.07,0.07,0.00,0.10,0.08
2017:06,-0.01,0.13,0.00,0.03,0.16,0.15,0.18
2017:07,-0.13,0.02,-0.04,-0.02,-0.16,0.00,-0.01
2017:08,-0.13,0.07,-0.07,0.14,0.00,0.00,-0.03
2017:09,0.01,0.08,0.02,0.07,0.18,0.01,-0.04
2017:10,0.40,0.04,-0.03,0.11,0.52,0.23,0.19
2017:11,0.05,0.05,0.01,0.12,0.24,0.31,0.33
