Date,cpi_infl
01-04-2022,7.3
01-05-2022,7.0
01-06-2022,7.9
01-07-2022,6.1
01-08-2022,7.1
01-09-2022,7.6
01-10-2022,5.1
01-11-2022,5.8
01-12-2022,5.9
01-01-2023,6.2
01-02-2023,6.8
01-03-2023,3.9
01-04-2023,5.8
01-05-2023,3.5
01-06-2023,3.3
01-07-2023,4.0
01-08-2023,4.3
01-09-2023,5.1
01-10-2023,4.2
01-11-2023,3.4
01-12-2023,4.3
01-01-2024,6.8
01-02-2024,4.3
01-03-2024,5.2
